Order ID,Order Date,Item Name,Quantity,Product Price,Total products
25537,02/08/2019 19:25,Meat Samosa,1,3.95,9
25537,02/08/2019 19:25,Chicken Tikka Masala,1,8.95,9
25537,02/08/2019 19:25,Chicken Chaat (Main),1,8.95,9
25537,02/08/2019 19:25,Korma - Chicken,1,8.95,9
25537,02/08/2019 19:25,Bombay Aloo,1,5.95,9
25537,02/08/2019 19:25,Keema Naan,1,2.95,9
25537,02/08/2019 19:25,Naan,1,2.5,9
25537,02/08/2019 19:25,Mushroom Rice,1,3.95,9
25537,02/08/2019 19:25,Special Fried Rice,1,3.95,9
25536,02/08/2019 19:24,Onion Bhaji,1,3.95,6
25536,02/08/2019 19:24,Korma - Chicken Tikka,1,8.95,6
25536,02/08/2019 19:24,Pathia - Chicken Tikka,1,8.95,6
25536,02/08/2019 19:24,Mushroom Rice,1,3.95,6
25536,02/08/2019 19:24,Puree,1,1.95,6
25536,02/08/2019 19:24,Garlic Naan,1,2.95,6
25535,02/08/2019 19:24,Mango Chutney,1,0.5,8
25535,02/08/2019 19:24,Plain Papadum,2,0.8,8
25535,02/08/2019 19:24,Chicken Tikka Masala,1,8.95,8
25535,02/08/2019 19:24,Tandoori Chicken Masala,1,9.95,8
25535,02/08/2019 19:24,Garlic Naan,1,2.95,8
25535,02/08/2019 19:24,Keema Naan,1,2.95,8
25535,02/08/2019 19:24,Pilau Rice,1,2.95,8
25535,02/08/2019 19:24,Saag Aloo,1,5.95,8
25534,02/08/2019 19:20,Prawn Puree,1,4.95,6
25534,02/08/2019 19:20,Methi - Chicken,1,8.95,6
25534,02/08/2019 19:20,Lamb Balti,1,9.95,6
25534,02/08/2019 19:20,Chicken Biryani,1,9.95,6
25534,02/08/2019 19:20,Pilau Rice,1,2.95,6
25534,02/08/2019 19:20,Cauliflower Bhajee,1,5.95,6
25533,02/08/2019 19:19,Lamb Biryani,1,9.95,2
25533,02/08/2019 19:19,Chicken Biryani,1,9.95,2
25532,02/08/2019 19:14,Keema Naan,1,2.95,9
25532,02/08/2019 19:14,Garlic Naan,1,2.95,9
25532,02/08/2019 19:14,Persian Chicken Biryani,1,11.95,9
25532,02/08/2019 19:14,Tandoori Paratha,1,2.95,9
25532,02/08/2019 19:14,Curry - Chicken,1,7.95,9
25532,02/08/2019 19:14,Paneer Sizzler,1,9.95,9
25532,02/08/2019 19:14,Tandoori Mixed Grill,1,11.95,9
25532,02/08/2019 19:14,Chicken Royal,1,8.95,9
25532,02/08/2019 19:14,Chicken Tikka (Main),1,8.95,9
25531,02/08/2019 19:14,Tandoori Mixed Grill,1,11.95,4
25531,02/08/2019 19:14,Garlic Naan,2,2.95,4
25531,02/08/2019 19:14,Naan,1,2.5,4
25531,02/08/2019 19:14,Butter Chicken,1,8.95,4
25530,02/08/2019 19:07,Plain Papadum,3,0.8,5
25530,02/08/2019 19:07,Onion Chutney,1,0.5,5
25530,02/08/2019 19:07,Saag Aloo,1,5.95,5
25530,02/08/2019 19:07,Mushroom Bhajee,1,5.95,5
25530,02/08/2019 19:07,Mushroom Rice,1,3.95,5
25529,02/08/2019 18:52,Chicken Tikka,1,4.95,6
25529,02/08/2019 18:52,Kulcha Naan,1,2.95,6
25529,02/08/2019 18:52,Garlic Rice,1,3.95,6
25529,02/08/2019 18:52,Madras Sauce,1,3.95,6
25529,02/08/2019 18:52,Vegetable Curry,1,5.95,6
25529,02/08/2019 18:52,Vegetable Jalfrezi,1,7.95,6
25528,02/08/2019 18:20,Chicken Royal,1,8.95,6
25528,02/08/2019 18:20,Vegetable Rice,1,3.95,6
25528,02/08/2019 18:20,Aloo Dupiaza,1,5.95,6
25528,02/08/2019 18:20,Vegetable Dansak,1,6.95,6
25528,02/08/2019 18:20,Plain Rice,1,2.95,6
25528,02/08/2019 18:20,Tandoori Roti,2,2.5,6
25527,02/08/2019 18:16,Mini Bhaji,2,3.95,10
25527,02/08/2019 18:16,Meat Samosa,1,3.95,10
25527,02/08/2019 18:16,Prawn Puree,2,4.95,10
25527,02/08/2019 18:16,Tandoori Chicken Masala,1,9.95,10
25527,02/08/2019 18:16,Madras - Chicken,1,7.95,10
25527,02/08/2019 18:16,Cauliflower Bhajee,1,5.95,10
25527,02/08/2019 18:16,Madras Sauce,1,3.95,10
25527,02/08/2019 18:16,Peshwari Naan,1,2.95,10
25527,02/08/2019 18:16,Keema Naan,1,2.95,10
25527,02/08/2019 18:16,Pilau Rice,1,2.95,10
25526,02/08/2019 18:14,Pilau Rice,1,2.95,11
25526,02/08/2019 18:14,Naan,2,2.5,11
25526,02/08/2019 18:14,Bombay Aloo,1,5.95,11
25526,02/08/2019 18:14,Korma - Chicken,2,8.95,11
25526,02/08/2019 18:14,Plain Papadum,5,0.8,11
25526,02/08/2019 18:14,Mango Chutney,1,0.5,11
25526,02/08/2019 18:14,Mint Sauce,1,0.5,11
25526,02/08/2019 18:14,Onion Chutney,1,0.5,11
25526,02/08/2019 18:14,Mushroom Rice,1,3.95,11
25526,02/08/2019 18:14,Onion Bhaji,2,3.95,11
25526,02/08/2019 18:14,Chicken Tikka Pasanda,1,8.95,11
25525,02/08/2019 17:57,Tandoori Mixed Grill,1,11.95,5
25525,02/08/2019 17:57,Madras - Chicken,1,7.95,5
25525,02/08/2019 17:57,Garlic Naan,1,2.95,5
25525,02/08/2019 17:57,Pilau Rice,1,2.95,5
25525,02/08/2019 17:57,Chicken Tikka Sizzler,1,9.95,5
25524,02/08/2019 17:48,Butter Chicken,1,8.95,3
25524,02/08/2019 17:48,Chicken Tikka Biryani,1,10.95,3
25524,02/08/2019 17:48,Garlic Naan,1,2.95,3
25523,02/08/2019 17:43,Vegetable Samosa,1,3.95,5
25523,02/08/2019 17:43,Onion Bhaji,1,3.95,5
25523,02/08/2019 17:43,Vegetable Biryani,1,9.95,5
25523,02/08/2019 17:43,Chicken Tikka Jalfrezi,1,8.95,5
25523,02/08/2019 17:43,Naan,1,2.5,5
25522,02/08/2019 12:04,Chicken Tikka,2,4.95,10
